MATHEMATICAL PATTERN COLLECTION - ORDERBOOK DATA
Analyst: fedfraud
Generated: 2025-07-04 12:36:10 UTC
================================================================================


================================================================================
ORDERBOOK BY SYMBOL
================================================================================

TYPE|EXCHANGE|SYMBOL|RATE|INTERVAL|TIME|BUY_USD|BUY_COIN|SELL_USD|SELL_COIN
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:25:00|28223962.59|258.31545|40423163.671|366.97809
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:30:00|32971375.223|301.99223|39444615.945|358.29281
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:35:00|29563493.868|270.46111|38227669.0695|347.00444
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:40:00|32783134.5615|300.41314|37691336.593|342.62231
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:45:00|31524947.977|288.94127|37595262.0825|341.78105
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:50:00|32230480.4715|295.37503|37426806.7585|340.23921
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_01:55:00|30337918.2255|278.11747|39167268.7235|356.19473
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:00:00|29771754.148|272.9398|38546222.6095|350.53299
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:05:00|30621991.2825|280.76849|36740700.233|334.08971
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:10:00|30987076.546|284.11841|38163662.3525|347.07805
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:15:00|29448824.8465|270.18053|33022131.768|300.4022
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:20:00|27263140.2115|250.36338|29105271.148|265.2794
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:25:00|29742086.0935|272.9739|26645489.708|242.68262
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:30:00|29652954.2685|272.15497|33279745.754|302.92212
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:35:00|28876276.0735|265.44523|26739568.307|243.89767
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:40:00|29143871.204|267.83002|27069954.9675|246.91379
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:45:00|32169422.35|295.99577|26266045.4435|239.6952
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:50:00|29741412.253|273.17652|25445762.8885|231.92949
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_02:55:00|28227441.9405|259.52069|27938936.616|254.98651
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:00:00|27668866.295|254.36871|28995363.981|264.50409
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:05:00|29470679.5945|270.90422|25625785.21|233.68123
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:10:00|27924257.5575|256.74004|27005097.9435|246.4297
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:15:00|29078297.924|267.22531|27913857.506|254.58055
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:20:00|29042393.983|266.72671|27521741.491|250.82022
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:25:00|29465841.8485|270.54696|28226459.715|257.18171
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:30:00|28102372.224|257.98351|33176166.1315|301.97801
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:35:00|27737991.1855|254.75224|28802606.3865|262.50552
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:40:00|29340142.605|269.56542|27695851.6185|252.48978
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:45:00|28877578.0135|265.19601|26538490.097|241.81541
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:50:00|27893703.282|256.31729|28190032.9495|257.03767
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_03:55:00|29988311.069|275.51062|28428338.98|259.19444
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:00:00|28318611.338|260.22648|25635956.4575|233.65567
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:05:00|28945866.0875|265.93978|26913622.2925|245.366
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:10:00|27855533.4605|255.86118|29773400.911|271.43726
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:15:00|28741388.022|263.9739|28159489.359|256.71834
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:20:00|28580106.094|262.43878|30117296.55|274.43658
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:25:00|27368173.573|251.4109|29180545.8715|266.04577
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:30:00|28607093.9355|262.88851|28693176.568|261.66505
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:35:00|30474036.6645|280.09494|28069392.381|255.99227
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:40:00|29973215.294|275.88159|27450993.778|250.4603
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:45:00|31786115.388|292.54184|26068401.955|237.99377
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:50:00|29923912.718|275.63983|24958730.3805|228.00837
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_04:55:00|29401659.912|270.90842|26416568.3265|241.46712
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:00:00|30441611.2085|280.45829|30653349.6515|280.08762
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:05:00|29803448.753|274.4886|28269246.785|258.13431
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:10:00|32577694.826|299.8345|30144252.7165|274.99109
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:15:00|31132069.7205|286.59415|30983340.346|282.84563
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:20:00|28802566.9015|265.20519|32640140.217|298.01642
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:25:00|27921522.026|257.27563|31391478.686|286.8193
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:30:00|29707864.3455|273.5424|28917673.6435|263.89186
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:35:00|27049467.9175|248.7747|33922941.342|309.43885
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:40:00|26839904.8245|246.83256|34667993.896|316.29142
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:45:00|30413354.334|279.98345|33972941.943|310.08414
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:50:00|28710322.8155|264.49851|32056068.6645|292.85864
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_05:55:00|32148293.4255|296.01352|32955949.707|301.06762
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:00:00|32276988.8625|297.24691|32711177.8965|298.8722
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:05:00|30777394.5655|283.58089|31206574.4875|285.22116
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:10:00|32462870.5625|299.21043|33052933.275|302.22504
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:15:00|30342417.431|279.79524|27527290.459|251.98245
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:20:00|32368503.3105|298.34775|30948575.1625|282.91834
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:25:00|30912567.709|284.94733|31594848.5135|288.82702
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:30:00|31059027.563|286.26889|32633408.1825|298.31132
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:35:00|31022750.918|285.86394|32632999.55|298.17735
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:40:00|31903149.588|293.93888|31783050.403|290.45885
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:45:00|32936387.469|303.50379|33230537.193|303.75069
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:50:00|33284714.2625|306.53778|32706055.612|298.85582
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_06:55:00|33559090.225|309.05955|31722526.2445|289.8339
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:00:00|33881975.3235|311.99302|32887628.7935|300.45539
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:05:00|29731551.655|273.42909|32773458.9375|299.08558
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:10:00|31354066.6735|288.89767|33978932.977|310.54922
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:15:00|32741057.746|301.76214|32509292.201|297.22942
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:20:00|29864174.5935|275.50242|30714441.888|281.33025
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:25:00|30609907.594|282.31023|27888210.3505|255.28274
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:30:00|29594561.4865|273.04785|27936720.884|255.99201
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:35:00|33164174.0945|305.83616|26926092.62|246.47137
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:40:00|31473929.8745|290.13033|32761419.918|299.45019
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:45:00|30962968.9375|285.51029|29387157.4995|269.01647
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:50:00|32580492.444|300.498|28795973.0885|263.68452
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_07:55:00|32855025.2015|303.14283|26126275.0555|239.3887
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:00:00|30290287.683|279.58331|27315744.9345|250.39817
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:05:00|31683978.1185|292.40441|27646670.7725|253.36798
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:10:00|29968955.515|276.72114|25741865.53|236.0691
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:15:00|33880638.1955|313.21473|26010653.907|238.61802
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:20:00|33278216.8515|307.29386|25495239.084|233.7471
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:25:00|33961943.926|313.42581|23388810.1635|214.24668
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:30:00|33536378.901|309.50896|25682504.581|235.21322
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:35:00|35482348.093|327.41181|24720118.732|226.45824
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:40:00|34351704.032|316.91355|26660576.358|244.18744
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:45:00|34356101.044|316.87104|30123698.069|275.49501
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:50:00|35372679.147|326.30532|25690060.9305|235.26928
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_08:55:00|30599311.8335|282.35935|24453220.993|223.98481
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:00:00|31547312.7925|291.10195|25698272.319|235.43068
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:05:00|31586712.4755|291.30877|23424697.821|214.45751
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:10:00|30964347.366|285.55964|29340980.4525|268.30245
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:15:00|31028933.847|286.06635|29267453.549|267.59808
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:20:00|29906161.409|275.65521|29949934.988|273.78815
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:25:00|29713078.3375|273.77009|28786669.5595|263.00341
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:30:00|27621363.1085|254.45732|30362317.409|277.39098
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:35:00|28978866.63|267.07687|30266007.963|276.60434
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:40:00|29062329.5615|267.83798|30893271.3625|282.34444
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:45:00|28790024.5425|265.16094|30555567.3045|279.14419
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:50:00|29424318.31|271.21347|33247467.168|303.93748
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_09:55:00|30620763.044|282.24788|29634975.4095|270.92349
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:00:00|30632728.8585|282.22163|30153648.756|275.56269
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:05:00|29770359.3375|274.15426|30338137.335|277.07658
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:10:00|29272264.9005|269.57856|30634235.3535|279.86109
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:15:00|30830258.1715|284.12402|30206984.2175|276.03985
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:20:00|29264301.695|269.82672|31630447.86|289.2288
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:25:00|30237750.636|278.73423|29185715.696|266.80144
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:30:00|31637899.6325|291.58699|29271482.3395|267.57925
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:35:00|30109808.0645|277.61998|31956212.4105|292.23242
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:40:00|29842836.288|274.9435|30553458.5745|279.13864
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:45:00|29472627.556|271.76349|31169928.113|285.00356
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:50:00|30696007.0815|283.02639|29877632.3915|273.17398
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_10:55:00|30241773.5405|278.84626|30332956.698|277.33889
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:00:00|31457008.149|290.03194|29922750.388|273.59224
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:05:00|31625435.1775|291.33743|30278693.829|276.6466
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:10:00|31479006.737|289.98446|29769309.877|272.00277
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:15:00|31797544.126|293.03144|28826323.7935|263.37066
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:20:00|30082765.645|277.31534|31085894.151|284.18327
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:25:00|30071898.844|277.03951|30451276.6035|278.21289
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:30:00|29720524.5515|273.63769|31543433.6005|288.0606
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:35:00|26991616.6755|248.64953|34664067.062|316.68984
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:40:00|28911802.616|266.39766|32700972.2445|298.8272
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:45:00|28412118.1165|261.70349|30623923.5205|279.76328
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:50:00|27882772.6665|256.96445|32583653.1645|297.72144
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_11:55:00|30519091.115|281.49577|32111771.25|293.64362
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:00:00|31752501.5315|292.81058|30063657.8745|274.84307
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:05:00|30852356.817|284.37648|31956182.266|292.04585
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:10:00|31748252.887|292.7804|29667973.451|271.19033
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:15:00|29378259.0115|270.88043|29593142.4385|270.54824
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:20:00|30311366.125|279.648|27926286.521|255.72214
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:25:00|31224116.3785|288.05325|26726948.048|244.73013
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:30:00|31721221.312|292.53776|24731737.3855|226.37875
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:35:00|30878924.7725|284.88532|24676216.631|225.9241
SPOT|Binance|BTCUSDT|0.01|5m|2025-07-04_12:40:00|28986699.566|267.48995|28119494.9435|257.49394
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-02_23:30:00|25275964.3185|232.75665|96890662.7205|882.50865
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-02_23:45:00|22949995.707|211.75523|35013214.5535|320.65194
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_00:00:00|25091470.9315|231.26869|39222631.254|358.84585
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_00:15:00|22505160.1785|207.32258|92743888.5185|844.77676
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_00:30:00|24337969.809|224.23391|91767346.5525|835.91414
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_00:45:00|25113689.462|230.9769|92011683.618|837.63798
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_01:00:00|26310178.1275|242.2659|90873009.3545|827.65212
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_01:15:00|23038502.74|212.18885|92307489.7175|840.8045
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_01:30:00|22802896.9855|209.7833|94678840.2815|862.11579
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_01:45:00|23096398.877|212.58245|92814217.063|845.26
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_02:00:00|23017755.4645|211.90457|93655864.2415|853.06194
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_02:15:00|23215526.5275|213.96259|32385862.049|296.21782
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_02:30:00|27119453.7195|250.62299|23683231.3605|217.3116
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_02:45:00|24924699.9335|230.43495|23760789.3005|218.21851
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_03:00:00|24450092.203|225.63051|31500448.8295|288.41387
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_03:15:00|23299192.641|215.10627|28971825.932|265.42396
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_03:30:00|22937931.253|211.64114|31485953.8485|288.29744
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_03:45:00|24920777.1355|229.79762|32806248.9735|300.16263
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_04:00:00|28158280.41|260.16853|28810159.0105|264.15434
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_04:15:00|24406676.3525|225.04705|34737399.9385|317.77136
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_04:30:00|24678233.0485|227.32108|94303195.671|859.10231
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_04:45:00|24471582.217|225.55076|92130188.197|839.36555
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_05:00:00|26132339.232|240.94725|33735327.3045|308.62776
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_05:15:00|25274688.155|232.54678|95112167.0735|866.14014
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_05:30:00|26135114.5815|240.38584|94474911.4845|860.22023
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_05:45:00|25024214.096|229.69623|95064152.9915|865.26522
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_06:00:00|24428718.0695|224.12375|95399453.7865|868.09075
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_06:15:00|23711174.2865|217.64104|99017761.1985|901.08744
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_06:30:00|24352632.442|223.17941|103691943.9935|942.9915
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_06:45:00|24793962.5735|227.21113|103499486.923|941.24824
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_07:00:00|24240596.365|222.10776|104655157.2785|951.61397
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_07:15:00|21441803.4395|196.96674|97145606.5505|883.94372
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_07:30:00|25126920.835|230.70392|99918046.7605|909.27302
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_07:45:00|25898787.9575|237.65233|101150684.5965|920.38865
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_08:00:00|23049753.669|211.57719|71109559.0475|647.30896
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_08:15:00|24005868.1845|220.10034|75327409.753|685.26404
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_08:30:00|24739954.4405|226.50025|76748159.734|697.80938
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_08:45:00|24848509.372|227.59972|80915325.8785|735.90781
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_09:00:00|25305269.039|232.02973|78050250.6635|710.1378
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_09:15:00|25846454.4105|236.56191|77811680.296|707.23264
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_09:30:00|24203959.491|220.68101|92618679.1905|839.14845
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_09:45:00|16462096.781|149.6809|63026023.818|569.05639
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_10:00:00|20566527.693|187.60376|59900592.7445|541.77619
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_10:15:00|20203805.559|184.27457|61434695.4615|555.60304
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_10:30:00|21103558.491|192.85825|36369652.5455|330.01143
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_10:45:00|23261062.1135|212.47337|38751020.831|351.54245
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_11:00:00|24108903.644|220.18924|38970116.616|353.46353
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_11:15:00|22595663.2285|206.70925|39649775.033|359.96322
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_11:30:00|22197948.988|203.18009|39778607.4885|361.27774
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_11:45:00|21697432.9455|198.49847|40776668.2825|370.23783
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_12:00:00|22858411.7595|209.2772|39495924.8475|358.81916
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_12:15:00|23618740.422|216.31374|37253990.8275|338.41088
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_12:30:00|20628593.2815|189.00081|32945037.1425|298.98052
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_12:45:00|22779690.2375|209.91023|19257478.3|176.15861
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_13:00:00|24906832.4285|228.92346|28978238.9|264.20021
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_13:15:00|21904918.889|200.98192|30576101.9355|278.49622
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_13:30:00|24129740.63|221.46241|29528222.6525|268.9623
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_13:45:00|18844566.296|171.68093|64403695.671|581.75431
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_14:00:00|11914282.119|108.27157|50595143.0525|456.25367
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_14:15:00|21025013.6465|191.8123|52481911.8745|474.32684
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_14:30:00|22631820.58|206.58907|52755816.847|476.84909
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_14:45:00|23079674.073|210.76098|54948698.8305|496.69575
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_15:00:00|21260159.296|194.36144|30143071.1655|273.42285
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_15:15:00|25566298.284|234.37743|27975778.055|254.40423
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_15:30:00|26208155.856|240.0421|26585332.3965|241.77273
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_15:45:00|26844106.88|246.40072|23516900.1255|214.4965
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_16:00:00|31466995.545|289.50219|21934592.035|200.40491
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_16:15:00|29268198.5915|268.65805|24917185.5435|227.15718
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_16:30:00|28996525.455|266.56567|25873346.088|236.18269
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_16:45:00|30163265.229|276.74718|28229443.4405|257.07808
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_17:00:00|28831753.275|264.70903|25987383.7755|236.98733
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_17:15:00|28029850.093|256.94501|28037061.1215|254.80862
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_17:30:00|29398938.8955|269.63271|31684854.5005|288.24118
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_17:45:00|29774960.41|272.87622|31991492.2715|290.86774
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_18:00:00|28512624.296|261.32296|31004631.64|281.84724
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_18:15:00|31068852.597|284.90589|30320484.6205|275.77578
SPOT|Binance|BTCUSDT|0.01|15m|2025-07-03_18:30:00|30142594.1425|276.10392|32748745.626|297.4792
